id,dificultad,tema,enunciado,input_desc,output_desc,restricciones,ejemplo_entrada,ejemplo_salida,codigo,explicacion,tiempo,memoria
ex_0001,intermedio,arrays,"Dado un arreglo de enteros y un valor objetivo, determina los índices de dos elementos distintos cuya suma sea igual al valor objetivo. Se garantiza que existe exactamente una solución válida.",Un arreglo de enteros y un valor entero objetivo,Dos índices de elementos distintos cuya suma sea igual al objetivo,2 ? longitud del arreglo ? 10 000Los valores pueden ser negativosExiste exactamente una solución,"nums = [2,7,11,15]target = 9","[0,1]","def two_sum(nums, target):    seen = {}    for i, x in enumerate(nums):        need = target - x        if need in seen:            return [seen[need], i]        seen[x] = i","Se recorre el arreglo manteniendo un registro de los valores ya vistos. Para cada elemento, se verifica si el valor necesario para alcanzar la suma objetivo ya fue encontrado previamente.",O(n),O(n)
ex_0002,intermedio,linked_list,"Se reciben dos listas enlazadas no vacías que representan números enteros no negativos. Cada nodo contiene un solo dígito y los dígitos están almacenados en orden inverso.Calcula la suma de ambos números y devuelve el resultado como una nueva lista enlazada, manteniendo el mismo formato.","Dos listas enlazadas que representan números enteros no negativos, con un dígito por nodo en orden inverso.","Una lista enlazada que representa la suma de ambos números, usando el mismo formato.",Cada lista contiene entre 1 y 100 nodosCada nodo contiene un valor entre 0 y 9Los números no tienen ceros a la izquierda,"[2,4,3]  & [5,6,4]","[7,0,8]","class ListNode:    def __init__(self, val=0, next=None):        self.val = val        self.next = nextdef add_two_numbers(l1, l2):    dummy = ListNode()    curr = dummy    carry = 0    while l1 or l2 or carry:        v1 = l1.val if l1 else 0        v2 = l2.val if l2 else 0        total = v1 + v2 + carry        carry = total // 10        curr.next = ListNode(total % 10)        curr = curr.next        if l1:            l1 = l1.next        if l2:            l2 = l2.next    return dummy.next",Se recorren ambas listas simultáneamente sumando los dígitos correspondientes junto con un acarreo. El resultado de cada suma se guarda en un nuevo nodo y el proceso continúa hasta procesar todos los dígitos y el acarreo final.,O(n),O(n)
ex_0003,intermedio,sliding_window,"Dada una cadena s, encuentra la longitud máxima de una subcadena contigua que no contenga caracteres repetidos.","Una cadena de longitud variable que puede contener letras, dígitos, espacios y símbolos.",Un entero que representa la longitud de la subcadena contigua más larga sin caracteres repetidos.,0 ? longitud de la cadena ? 50 000La cadena puede incluir espacios y símbolosLa respuesta debe corresponder a una subcadena contigua,"s = ""abcabcbb""",3,"def length_of_longest_substring(s: str) -> int:    last = {}    left = 0    best = 0    for right, ch in enumerate(s):        if ch in last and last[ch] >= left:            left = last[ch] + 1        last[ch] = right        curr = right - left + 1        if curr > best:            best = curr    return best","Se mantiene una ventana [left, right] sin repetidos. Al avanzar right, si el carácter actual ya apareció dentro de la ventana, se mueve left a la posición siguiente de su última aparición. En cada paso se actualiza el tamaño máximo.o",O(n),"O(min(n,alfabeto))"
ex_0004,dificil,binary_search,Se te dan dos arreglos ordenados de enteros. Calcula la mediana del conjunto formado por todos los elementos de ambos arreglos sin construir explícitamente el arreglo combinado.,Dos arreglos de enteros ordenados de forma no decreciente.,Un número real que representa la mediana del conjunto total de elementos.,1 ? m + n ? 2000Los arreglos ya vienen ordenadosPuede haber arreglos vacíos,"nums1 = [1,2]nums2 = [3,4]",2.5,"def median_two_sorted(nums1, nums2):    # Asegura que nums1 sea el arreglo más pequeño    if len(nums1) > len(nums2):        nums1, nums2 = nums2, nums1    m, n = len(nums1), len(nums2)    total_left = (m + n + 1) // 2    lo, hi = 0, m    while lo <= hi:        i = (lo + hi) // 2        j = total_left - i        left1 = nums1[i - 1] if i > 0 else float(""-inf"")        right1 = nums1[i] if i < m else float(""inf"")        left2 = nums2[j - 1] if j > 0 else float(""-inf"")        right2 = nums2[j] if j < n else float(""inf"")        if left1 <= right2 and left2 <= right1:            if (m + n) % 2 == 1:                return float(max(left1, left2))            return (max(left1, left2) + min(right1, right2)) / 2.0        elif left1 > right2:            hi = i - 1        else:            lo = i + 1    raise ValueError(""Entrada inválida"")",Se busca una partición entre ambos arreglos tal que la cantidad de elementos a la izquierda sea la mitad del total y todos los elementos de la izquierda sean menores o iguales que los de la derecha. La mediana se obtiene a partir de los extremos de esa partición.,"O(log(min(m, n)))",O(1)
ex_0005,intermedio,strings,"Dada una cadena s, encuentra una subcadena contigua de longitud máxima que se lea igual de izquierda a derecha que de derecha a izquierda. Si existen varias con la misma longitud máxima, puedes devolver cualquiera.",Una cadena de caracteres alfanuméricos.,Una subcadena contigua de s con la máxima longitud posible que sea simétrica al leerla en ambos sentidos.,"1 ? longitud de la cadena ? 1000La cadena contiene letras y dígitosSi hay varias respuestas válidas, se acepta cualquiera","s = ""babad""",bab,"def longest_palindrome(s: str) -> str:    if not s:        return """"    best_l = 0    best_r = 0  # inclusive    def expand(l: int, r: int):        while l >= 0 and r < len(s) and s[l] == s[r]:            l -= 1            r += 1        return l + 1, r - 1    for i in range(len(s)):        l1, r1 = expand(i, i)       # centro impar        l2, r2 = expand(i, i + 1)   # centro par        if r1 - l1 > best_r - best_l:            best_l, best_r = l1, r1        if r2 - l2 > best_r - best_l:            best_l, best_r = l2, r2    return s[best_l:best_r + 1]",Se prueba cada posición como posible centro de un palíndromo (centro único y centro doble) y se expande hacia afuera mientras los caracteres coincidan. Se guarda el palíndromo más largo encontrado.,O(n^2),O(1)
ex_0006,dificil,strings,"Dada una cadena s, encuentra una subcadena contigua de longitud máxima que se lea igual de izquierda a derecha que de derecha a izquierda. Tu solución debe ejecutarse en tiempo lineal respecto a la longitud de la cadena.",Una cadena de caracteres alfanuméricos.,Una subcadena contigua de s con la máxima longitud posible que sea simétrica al leerla en ambos sentidos.,1 ? longitud de la cadena ? 100 000La cadena contiene letras y dígitosLa solución debe ejecutarse en tiempo O(n),"s = ""cbbd""",bb,"def longest_palindrome_linear(s: str) -> str:    if not s:        return """"    # Transformación para manejar palíndromos pares/impares uniformemente:    # ""abba"" -> ""^#a#b#b#a#$""    t = [""^""]    for ch in s:        t.append(""#"")        t.append(ch)    t.append(""#"")    t.append(""$"")    t = """".join(t)    p = [0] * len(t)    center = 0    right = 0    for i in range(1, len(t) - 1):        mirror = 2 * center - i        if i < right:            p[i] = min(right - i, p[mirror])        # Expandir alrededor de i        while t[i + 1 + p[i]] == t[i - 1 - p[i]]:            p[i] += 1        # Actualizar centro y frontera derecha        if i + p[i] > right:            center = i            right = i + p[i]    # Extraer el palíndromo más largo    max_len = 0    max_center = 0    for i in range(1, len(t) - 1):        if p[i] > max_len:            max_len = p[i]            max_center = i    start = (max_center - max_len) // 2    return s[start:start + max_len]","Se transforma la cadena para unificar palíndromos pares e impares y se calcula, para cada centro, el radio del palíndromo máximo usando información previa (simetría respecto al centro actual). Esto permite encontrar el palíndromo más largo en tiempo lineal.",O(n),O(n)
ex_0007,intermedio,strings,"Dada una cadena s y un entero k, escribe los caracteres de s recorriendo filas de 0 a k?1 y luego de k?2 a 1 repetidamente (como un vaivén). Después, construye una nueva cadena concatenando el contenido de cada fila en orden de 0 a k?1.",Una cadena de caracteres y un entero k que indica el número de filas.,Una cadena resultante de concatenar las filas construidas por el recorrido en vaivén.,1 ? longitud de la cadena ? 10001 ? k ? 1000La cadena puede contener letras mayúsculas/minúsculas y algunos signos,"s = ""PAYPALISHIRING"", k = 3","""PAHNAPLSIIGYIR""","def zigzag_convert(s: str, k: int) -> str:    if k <= 1 or k >= len(s):        return s    rows = [""""] * k    r = 0    step = 1  # +1 bajando, -1 subiendo    for ch in s:        rows[r] += ch        if r == 0:            step = 1        elif r == k - 1:            step = -1        r += step    return """".join(rows)","Se simula el recorrido por filas con una variable de fila actual y una dirección (bajando/subiendo). Cada carácter se agrega a su fila correspondiente, y al final se concatenan todas las filas.",O(n),O(n)
ex_0008,facil,math,"Dado un número entero con signo, devuelve el número obtenido al invertir el orden de sus dígitos.Si el resultado no puede representarse dentro del rango permitido de enteros con signo, devuelve 0.",Un número entero con signo.,"Un número entero que corresponde al valor obtenido al invertir los dígitos, o 0 si el resultado está fuera de rango.",El valor de entrada se encuentra dentro de un rango finito de enteros con signoEl resultado debe respetar ese mismo rangoNo se permiten ceros a la izquierda en la salida,x = -123,-321,def reverse_integer(x: int) -> int:    sign = -1 if x < 0 else 1    x = abs(x)    rev = 0    while x > 0:        rev = rev * 10 + (x % 10)        x //= 10    rev *= sign    if rev < -2**31 or rev > 2**31 - 1:        return 0    return rev,Se extraen los dígitos del número uno por uno y se reconstruye el valor invertido. Al final se verifica que el resultado esté dentro del rango permitido antes de devolverlo.,O(d) donde d es el número de dígitos,O(1)
ex_0009,facil,strings,"Dada una cadena, conviértela en un número entero con signo siguiendo estas reglas: ignora espacios iniciales, interpreta un signo opcional y lee los dígitos consecutivos hasta que aparezca un carácter no válido. Si no se puede formar un número válido, devuelve 0. Si el valor final excede el rango permitido, ajústalo al límite correspondiente.","Una cadena que puede contener espacios, signos, dígitos y otros caracteres.","Un número entero con signo obtenido a partir de la cadena, o 0 si no se puede formar un valor válido.","0 ? longitud de la cadena ? 200La cadena puede contener letras, dígitos, espacios y signosEl resultado debe respetar un rango finito de enteros con signo","s = ""   -042""",-42,"def string_to_int(s: str) -> int:    i = 0    n = len(s)    # Ignorar espacios iniciales    while i < n and s[i] == "" "":        i += 1    # Signo    sign = 1    if i < n and s[i] in ""+-"":        if s[i] == ""-"":            sign = -1        i += 1    # Conversión    value = 0    while i < n and s[i].isdigit():        value = value * 10 + (ord(s[i]) - ord(""0""))        i += 1    value *= sign    # Ajustar a rango    if value < -2**31:        return -2**31    if value > 2**31 - 1:        return 2**31 - 1    return value","Se recorre la cadena ignorando espacios iniciales, se determina el signo y se construye el número leyendo dígitos consecutivos. Al final, se valida que el resultado esté dentro del rango permitido.",O(n),O(1)
ex_0010,facil,math,"Dado un número entero con signo, determina si se lee igual de izquierda a derecha que de derecha a izquierda. Devuelve verdadero si cumple esta propiedad y falso en caso contrario.",Un número entero con signo.,Un valor booleano que indica si el número es simétrico al leerse en ambos sentidos.,"El número puede ser positivo, negativo o ceroEl valor pertenece a un rango finito de enteros con signoNo se permiten ceros a la izquierda al evaluar la simetría",x = 121,TRUE,def is_palindrome_number(x: int) -> bool:    if x < 0:        return False    original = x    rev = 0    while x > 0:        rev = rev * 10 + (x % 10)        x //= 10    return original == rev,"Se invierte el número original y se compara con el valor inicial. Si ambos coinciden, el número es palíndromo. Los números negativos se descartan directamente.",O(d) donde d es el número de dígitos,O(1)
